날짜,감기,눈병,천식,피부염
2017-01-01,3711,55,250,95
2017-01-02,23519,1599,1397,2001
2017-01-03,16073,1264,1029,1551
2017-01-04,14678,1309,957,1478
2017-01-05,15254,1257,1012,1345
2017-01-06,15065,1393,1042,1566
2017-01-07,12372,894,834,1207
2017-01-08,3427,71,156,77
2017-01-09,18488,1641,1309,1955
2017-01-10,12627,1198,850,1441
2017-01-11,12138,1126,886,1405
2017-01-12,12581,1162,876,1312
2017-01-13,12605,1304,947,1529
2017-01-14,10858,910,754,1193
2017-01-15,3288,54,202,103
2017-01-16,16951,1553,1233,2090
2017-01-17,11872,1300,917,1607
2017-01-18,11489,1204,845,1520
2017-01-19,11833,1241,809,1394
2017-01-20,11476,1124,900,1507
2017-01-21,11035,866,832,1192
2017-01-22,3217,55,184,95
2017-01-23,16426,1571,1260,2094
2017-01-24,12225,1302,931,1640
2017-01-25,12647,1334,1037,1757
2017-01-26,18502,1572,1299,2137
2017-01-27,4776,175,248,208
2017-01-28,1782,38,107,97
2017-01-29,3719,79,224,115
2017-01-30,8917,369,609,543
2017-01-31,17407,1739,1244,2548
2017-02-01,11783,1282,938,1715
2017-02-02,11742,1330,902,1594
2017-02-03,12575,1445,848,1830
2017-02-04,11410,927,743,1388
2017-02-05,3298,75,154,140
2017-02-06,16058,1644,1092,2178
2017-02-07,11632,1324,874,1537
2017-02-08,11312,1242,912,1525
2017-02-09,11470,1244,802,1386
2017-02-10,12122,1184,942,1609
2017-02-11,11401,862,722,1267
2017-02-12,3455,82,201,122
2017-02-13,16646,1707,1192,2193
2017-02-14,11837,1283,853,1571
2017-02-15,11248,1222,837,1521
2017-02-16,12099,1263,857,1550
2017-02-17,12647,1332,922,1737
2017-02-18,11421,958,809,1326
2017-02-19,3577,99,171,136
2017-02-20,17293,1668,1268,2149
2017-02-21,12048,1309,889,1598
2017-02-22,10877,1114,799,1362
2017-02-23,12772,1233,955,1451
2017-02-24,12957,1405,922,1815
2017-02-25,11237,922,751,1294
2017-02-26,3200,82,187,121
2017-02-27,16658,1730,1237,2210
2017-02-28,12859,1373,938,1813
2017-03-01,4824,256,379,242
2017-03-02,13970,1478,1060,1809
2017-03-03,11472,1451,857,1753
2017-03-04,11044,1010,801,1443
2017-03-05,3371,103,166,127
2017-03-06,15635,1621,1087,2213
2017-03-07,10890,1257,782,1525
2017-03-08,11082,1188,760,1446
2017-03-09,12221,1291,800,1454
2017-03-10,12353,1235,890,1791
2017-03-11,12388,924,779,1470
2017-03-12,3884,114,179,147
2017-03-13,18060,1661,1258,2274
2017-03-14,12934,1261,903,1663
2017-03-15,12882,1144,864,1532
2017-03-16,14408,1279,988,1473
2017-03-17,14972,1360,986,1788
2017-03-18,14829,960,930,1609
2017-03-19,4382,115,184,148
2017-03-20,20937,1612,1344,2279
2017-03-21,15330,1295,1028,1709
2017-03-22,14921,1296,952,1635
2017-03-23,16254,1293,1004,1529
2017-03-24,16518,1309,1083,1737
2017-03-25,16039,900,956,1575
2017-03-26,4628,95,197,145
2017-03-27,22974,1488,1481,2196
2017-03-28,16215,1209,1050,1622
2017-03-29,15433,1220,982,1604
2017-03-30,16097,1236,993,1546
2017-03-31,16647,1350,1106,1738
2017-04-01,16035,865,1086,1387
2017-04-02,4706,129,194,130
2017-04-03,22049,1625,1458,2221
2017-04-04,16112,1319,1020,1666
2017-04-05,14843,1170,989,1495
2017-04-06,15992,1260,1038,1470
2017-04-07,15561,1323,1104,1694
2017-04-08,13623,949,839,1410
2017-04-09,4340,115,196,167
2017-04-10,21423,1790,1386,2372
2017-04-11,15081,1331,975,1728
2017-04-12,14558,1217,1021,1644
2017-04-13,15663,1325,1056,1664
2017-04-14,16369,1464,1019,1938
2017-04-15,14004,1042,880,1511
2017-04-16,4234,103,153,158
2017-04-17,19831,1719,1311,2340
2017-04-18,13917,1324,938,1809
2017-04-19,13767,1431,993,1624
2017-04-20,14602,1335,981,1520
2017-04-21,15108,1464,1015,1867
2017-04-22,13991,1051,903,1586
2017-04-23,4373,171,178,161
2017-04-24,21393,2094,1424,2570
2017-04-25,15128,1574,1120,1920
2017-04-26,14029,1471,1033,1804
2017-04-27,15377,1532,1062,1723
2017-04-28,16174,1713,1164,2271
2017-04-29,14628,1203,1034,1789
2017-04-30,4035,121,173,213
2017-05-01,19812,1859,1517,2878
2017-05-02,16009,1863,1210,2734
2017-05-03,5243,285,325,343
2017-05-04,18321,1885,1284,3302
2017-05-05,4372,206,294,307
2017-05-06,12471,1021,895,2269
2017-05-07,4034,121,206,301
2017-05-08,18818,2003,1463,3862
2017-05-09,9386,695,725,1598
2017-05-10,12939,1543,972,2712
2017-05-11,11981,1489,851,2169
2017-05-12,11782,1398,857,2356
2017-05-13,10336,1031,770,1859
2017-05-14,3295,169,118,179
2017-05-15,15878,1796,1115,2889
2017-05-16,11465,1334,823,2012
2017-05-17,10981,1342,802,1951
2017-05-18,11493,1398,814,1829
2017-05-19,11989,1509,848,2127
2017-05-20,10917,1089,753,1749
2017-05-21,3704,81,201,223
2017-05-22,17099,1885,1168,2895
2017-05-23,11553,1356,807,2016
2017-05-24,10691,1329,785,1908
2017-05-25,11463,1403,823,1860
2017-05-26,12465,1467,867,2041
2017-05-27,10849,966,689,1602
2017-05-28,3659,119,135,153
2017-05-29,16107,1770,1060,2789
2017-05-30,11088,1394,794,2013
2017-05-31,10084,1304,714,1836
2017-06-01,10906,1348,831,1803
2017-06-02,11254,1409,768,2025
2017-06-03,10474,1015,670,1586
2017-06-04,3430,134,124,168
2017-06-05,16460,2019,1061,3003
2017-06-06,4795,316,307,277
2017-06-07,12644,1465,855,2273
2017-06-08,10558,1342,740,1892
2017-06-09,10442,1504,744,2012
2017-06-10,9678,990,632,1538
2017-06-11,3278,94,123,153
2017-06-12,14669,1793,975,2686
2017-06-13,9936,1411,681,1859
2017-06-14,9489,1357,704,1762
2017-06-15,10113,1372,688,1653
2017-06-16,10059,1418,678,2063
2017-06-17,9249,996,566,1591
2017-06-18,3155,130,121,190
2017-06-19,13751,1790,983,2709
2017-06-20,9528,1420,658,1911
2017-06-21,8816,1403,601,1916
2017-06-22,9158,1328,634,1810
2017-06-23,9337,1488,628,2074
2017-06-24,8458,1006,560,1606
2017-06-25,2970,113,114,186
2017-06-26,11971,1722,904,2701
2017-06-27,8794,1308,622,1979
2017-06-28,7794,1297,591,1796
2017-06-29,8112,1329,598,1813
2017-06-30,8481,1390,612,2078
2017-07-01,7632,922,631,1475
2017-07-02,2774,99,126,195
2017-07-03,10365,1544,826,2566
2017-07-04,7451,1314,567,1861
2017-07-05,7150,1370,575,1864
2017-07-06,7196,1299,532,1737
2017-07-07,8436,1434,644,2231
2017-07-08,6923,968,435,1535
2017-07-09,2898,95,103,216
2017-07-10,10721,1774,710,2721
2017-07-11,7958,1350,535,2031
2017-07-12,7455,1309,523,1902
2017-07-13,8131,1357,515,1842
2017-07-14,8015,1388,533,2172
2017-07-15,8076,1070,501,1788
2017-07-16,2986,100,107,157
2017-07-17,11327,1774,786,2629
2017-07-18,8399,1371,542,2027
2017-07-19,8070,1337,515,1817
2017-07-20,8103,1395,573,1775
2017-07-21,8136,1489,585,2162
2017-07-22,7758,1091,462,1634
2017-07-23,3236,103,95,237
2017-07-24,11522,1886,759,2821
2017-07-25,8333,1493,569,2319
2017-07-26,8234,1495,547,2102
2017-07-27,8847,1427,551,1846
2017-07-28,8865,1479,556,2200
2017-07-29,7556,991,451,1533
2017-07-30,2832,125,98,201
2017-07-31,10818,1738,763,2693
2017-08-01,8112,1403,565,2115
2017-08-02,7817,1513,590,2043
2017-08-03,7715,1506,530,1936
2017-08-04,7955,1499,536,2097
2017-08-05,6461,1102,403,1571
2017-08-06,2531,109,91,230
2017-08-07,10281,2054,699,2979
2017-08-08,7444,1476,520,2244
2017-08-09,6745,1416,468,1862
2017-08-10,7627,1456,547,1989
2017-08-11,7552,1404,524,2098
2017-08-12,6668,1049,348,1563
2017-08-13,2678,125,92,184
2017-08-14,10462,1664,681,2225
2017-08-15,3910,275,177,252
2017-08-16,9708,1920,624,2382
2017-08-17,7992,1588,580,1946
2017-08-18,8023,1692,609,2180
2017-08-19,7533,1161,455,1601
2017-08-20,2918,122,95,180
2017-08-21,11010,1972,707,2671
2017-08-22,7996,1549,519,2087
2017-08-23,7560,1589,548,1923
2017-08-24,7842,1373,482,1785
2017-08-25,8397,1708,562,2111
2017-08-26,8728,1257,494,1655
2017-08-27,3417,167,137,218
2017-08-28,14391,2198,845,2772
2017-08-29,9919,1574,583,1972
2017-08-30,11160,1568,657,1847
2017-08-31,11552,1516,614,1862
2017-09-01,11758,1571,761,2028
2017-09-02,11093,1167,545,1647
2017-09-03,3781,80,171,222
2017-09-04,16440,2057,919,2530
2017-09-05,11171,1426,673,1906
2017-09-06,10290,1412,650,1697
2017-09-07,10919,1471,583,1628
2017-09-08,11426,1548,711,2003
2017-09-09,11046,1166,598,1527
2017-09-10,3753,130,161,232
2017-09-11,16082,1991,913,2421
2017-09-12,11231,1530,714,1879
2017-09-13,11749,1484,678,1743
2017-09-14,13041,1487,764,1687
2017-09-15,13962,1735,856,1953
2017-09-16,13367,1151,717,1548
2017-09-17,3929,151,167,216
2017-09-18,17710,2079,1035,2534
2017-09-19,12172,1514,722,1910
2017-09-20,11551,1471,758,1702
2017-09-21,13081,1567,757,1634
2017-09-22,12962,1612,798,1929
2017-09-23,11709,1057,678,1531
2017-09-24,3699,146,176,237
2017-09-25,15687,1838,1016,2588
2017-09-26,11396,1418,780,2012
2017-09-27,10536,1373,789,1852
2017-09-28,11740,1581,836,1905
2017-09-29,14510,1690,969,2338
2017-09-30,14545,1177,909,1844
2017-10-01,4008,173,270,202
2017-10-02,19380,1580,1110,2282
2017-10-03,4348,210,171,284
2017-10-04,2014,51,100,148
2017-10-05,4432,103,243,279
2017-10-06,8273,490,454,760
2017-10-07,9885,827,622,1240
2017-10-08,3201,160,137,218
2017-10-09,6939,441,425,639
2017-10-10,13627,2032,983,3141
2017-10-11,9085,1356,709,1988
2017-10-12,9876,1410,701,1790
2017-10-13,10972,1570,710,1905
2017-10-14,10472,1105,672,1538
2017-10-15,3473,144,140,167
2017-10-16,15173,1834,962,2346
2017-10-17,10899,1423,718,1805
2017-10-18,10634,1319,733,1533
2017-10-19,11085,1341,747,1590
2017-10-20,11285,1389,766,1769
2017-10-21,10991,973,692,1321
2017-10-22,3933,111,202,137
2017-10-23,17199,1745,1131,2156
2017-10-24,12382,1284,842,1685
2017-10-25,12135,1343,829,1568
2017-10-26,13555,1311,835,1576
2017-10-27,14154,1410,939,1837
2017-10-28,12467,960,751,1276
2017-10-29,4330,87,181,140
2017-10-30,20141,1658,1252,2194
2017-10-31,14390,1285,962,1645
2017-11-01,14151,1279,957,1639
2017-11-02,14805,1262,890,1525
2017-11-03,15031,1272,1006,1645
2017-11-04,14320,883,915,1279
2017-11-05,4561,107,211,141
2017-11-06,20841,1644,1338,2098
2017-11-07,15086,1247,1035,1679
2017-11-08,13819,1241,994,1566
2017-11-09,14913,1283,921,1535
2017-11-10,15193,1204,981,1555
2017-11-11,14719,961,982,1362
2017-11-12,4578,115,274,176
2017-11-13,22238,1576,1422,2124
2017-11-14,15362,1145,1020,1608
2017-11-15,14332,1149,968,1475
2017-11-16,15758,1170,1003,1497
2017-11-17,16206,1240,1075,1714
2017-11-18,14736,796,951,1262
2017-11-19,4705,135,249,156
2017-11-20,22177,1609,1540,2235
2017-11-21,15469,1178,1055,1754
2017-11-22,14763,1121,1034,1661
2017-11-23,14423,1100,891,1404
2017-11-24,15109,1162,988,1648
2017-11-25,14123,842,957,1281
2017-11-26,4394,135,207,108
2017-11-27,20582,1644,1411,2045
2017-11-28,14679,1232,1009,1673
2017-11-29,14011,1278,908,1402
2017-11-30,15289,1201,1021,1374
2017-12-01,16127,1340,1031,1568
2017-12-02,14921,937,971,1360
2017-12-03,4735,127,270,151
2017-12-04,21175,1655,1357,2129
2017-12-05,14701,1252,999,1521
2017-12-06,14051,1117,945,1385
2017-12-07,15815,1294,1030,1520
2017-12-08,15909,1257,963,1615
2017-12-09,14750,941,890,1246
2017-12-10,4517,119,180,150
2017-12-11,20883,1449,1351,1873
2017-12-12,14934,1185,944,1488
2017-12-13,14772,1186,940,1401
2017-12-14,16079,1206,964,1386
2017-12-15,17106,1309,1024,1700
2017-12-16,15851,958,932,1302
2017-12-17,5000,107,223,115
2017-12-18,25275,1710,1435,2175
2017-12-19,17605,1236,981,1433
2017-12-20,17243,1240,940,1412
2017-12-21,18792,1183,986,1416
2017-12-22,20177,1278,1078,1654
2017-12-23,19359,964,1028,1340
2017-12-24,5446,94,136,97
2017-12-25,8423,270,371,178
2017-12-26,30815,1693,1545,2152
2017-12-27,20921,1302,1105,1537
2017-12-28,21878,1398,1076,1621
2017-12-29,24717,1487,1290,1785
2017-12-30,20469,935,938,1347
2017-12-31,6110,94,112,111
